title,siglum,century,provenance,srclink,cursus,num_century
SK-Lap (Levoča) Breviarium SŽ 26,SK-Lap (Levoča) SŽ 36,13th century,Hungary,https://cantus.sk/source/29839,,13
E-PAMan (Pamplona) Partitura n. 103,E-PAMan Partitura n. 103,12th century,,https://musicahispanica.eu/source/126382,,12
"P-BRad (Braga) Arquivo Distrital Pasta de fragmentos, 092 (olim Caixa 284, nº 6)",P-BRad Pasta 092,12th - 13th century,,https://pemdatabase.eu/source/47064,,12
SK-BRsa Antiphonarium Scepusiense Protoc. I 1510 (1632),SK-BRsa Spis 1510,15th century,Slovakia - Spišská Kapitula,https://cantus.sk/source/13840,,15
"SK-KRE (Kremnica) Antiphonarium Tom. 1, Fons 36, Fasc. 14, Nro. 710, 1596","SK-KRE Tom. 1, Fons 36, Fasc. 14, Nro. 710, 1596",15th century,Bohemia,https://cantus.sk/source/32488,,15
SK-BJ (Bardejov) Antiphonarium MMBJ 1796,SK-BJ (Bardejov) MMBJ 1796,14th century,Hungary,https://cantus.sk/source/29803,,14
SK-BBa (Banská Bystrica) ANTIPHONARIUM 1635,SK-BBa (Banská Bystrica) Copier Buch 1635 / 53,15th century,Slovakia / medieval Hungary,https://cantus.sk/source/32198,,15
E-PAMan (Pamplona) Partitura n. 199,E-PAMan Partitura n. 199,13th century,,https://musicahispanica.eu/source/127474,,13
"P-LOam (Loulé) Arquivo Municipal de Loulé Registo dos alardos militares, liv. 001","P-LOam Registo dos alardos militares, liv. 001",14th century,,https://pemdatabase.eu/source/89026,,14
SK-Brl (Bratislava) Lyc F I 5,SK-BRl Lyc FI5,15th century,Germany,https://cantus.sk/source/4986,,15
E-Mh (Madrid) Cód. 119,E-Mh Cód. 119,12th century,,https://musicahispanica.eu/source/111691,,12
P-G (Guimarães) Arquivo Municipal Alfredo Pimenta P 714,P-G P 714,13th cent. (1st half),,https://pemdatabase.eu/source/80941,Secular,13
"SK-KRE (Kremnica) Antiphonarium Tom. 2, Fons 41, Fasc. 4, Nro. 89, 1615","SK-KRE Tom. 2, Fons 41, Fasc. 4, Nro. 89, 1615",14th century,OFM,https://cantus.sk/source/32577,,14
V-CVbav : Reg.lat.0049,V-CVbav Reg.lat.0049,,Bretagne ou Irlande,http://musmed.eu/source/93473,,
"SK-KRE (Kremnica) Antiphonarium Tom. 1, Fons 41, Fasc. 5, Nro. 91, 1596","SK-KRE Tom. 1, Fons 41, Fasc. 5, Nro. 91, 1596",15th century,Bohemia,https://cantus.sk/source/32530,,15
E-PAMan (Pamplona) Partitura n. 147,E-PAMan Partitura n. 147,14th century,,https://musicahispanica.eu/source/126980,,14
P-Cua (Coimbra) Arquivo Distrital e da Universidade III-1ªD-3-1-181 + III-1ªD-3-1-185 + III-1ªD-8-3-073,P-Cua III-1ªD-3-1-181 + III-1ªD-3-1-185 + III-1ªD-8-3-073,15th/16th century,,https://pemdatabase.eu/source/97500,,15
"SK-KRE (Kremnica) Antiphonarium Tom. 2, Fons 41, Fasc. 5, Nro. 117, 1622","SK-KRE Tom. 2, Fons 41, Fasc. 5, Nro. 117, 1622",15th century,Austria,https://cantus.sk/source/32578,,15
"SK-BRsa Psalterium Capitulum Posoniensis, Locus credibilis Protoc.Antiqua C",SK-BRsa LC C 1567,15th century,Bratislava,https://cantus.sk/source/13907,,15
F-Pn : Lat. 1118,F-Pn Lat. 1118,10th century,"France, Limoges, Abbaye Saint-Martial de Limoges",http://musmed.eu/source/13057,,10
E-PAMan (Pamplona) partitura n. 53 olim 3/24,E-PAMan partitura n. 53 olim 3/24,12th century,,https://musicahispanica.eu/source/96904,,12
"SK-BEt (Betliar) Slovenské národné múzeum - Múzeum Betliar 3 BREVIARIUM Sign. K0000/07120, HK 07120/I",SK-BEt K0000/07120,15th century,OFM,https://cantus.sk/source/29069,,15
Antiphonarium latino-bohemicum,CZ-Pu XVII E 1,16th century,Bohemia,https://hymnologica.cz/source/10664,,16
SK-MO (Modra) Magistrát mesta Modry 3097 II.2.38.292. Kammerrechnung 1645,SK-MO 3097,15th century,Slovakia,https://cantus.sk/source/145,,15
SK-BRsa Antiphonarium Scepusiense sine Sign. Anni 1558-1564,SK-BRsa Spis 1558,15th century,Slovakia - Spišská Kapitula,https://cantus.sk/source/13707,,15
"SK-KRE (Kremnica) Antiphonarium Tom. 2, Fons 23, Fasc. 1, Nro. 40, 1610","SK-KRE Tom. 2, Fons 23, Fasc. 1, Nro. 40, 1610",15th century,Bohemia,https://cantus.sk/source/32565,,15
E-PAMan (Pamplona) Partitura n. 135,E-PAMan Partitura n. 135,13th century,,https://musicahispanica.eu/source/126834,,13
E-PAMan (Pamplona) Partitura n. 224,E-PAMan Partitura n. 224,13th century,,https://musicahispanica.eu/source/127742,,13
E-PAMan (Pamplona) partitura n. 08 olim 1/9,E-PAMan partitura n. 8 olim 1/9,12th century,,https://musicahispanica.eu/source/94759,,12
"SK-BRsa Psalterium Capitulum Posoniensis, Locus credibilis Protoc.Antiqua A",SK-BRsa LC A 1567,15th century,Bratislava,https://cantus.sk/source/13905,,15
SK-KO (Košice) Antiphonarium H III/2 mac 45,SK-KO (Košice) H III/2 mac 45,15th century,cursus monasticus (Dominicans?),https://cantus.sk/source/31091,,15
SK-KOs (Košice) Antiphonarium V 981 PA,SK-KOs V 981 PA,15th century,Slovakia,https://cantus.sk/source/10447,,15
E-PAMan (Pamplona) Partitura n. 271,E-PAMan Partitura n. 271,15th century,,https://musicahispanica.eu/source/128086,,15
E-PAMan (Pamplona) Partitura n. 223,E-PAMan Partitura n. 223,13th century,,https://musicahispanica.eu/source/127726,,13
D-KNd : Ms 0015,D-KNd Ms 0015,9th century,Meuse,http://musmed.eu/source/11433,,9
SK-BRsa Antiphonarium Scepusiense Protoc.1556 /?/,SK-BRsa Spis 1556,15th century,Slovakia - Spišská Kapitula,https://cantus.sk/source/13838,,15
P-G (Guimarães) Arquivo Municipal Alfredo Pimenta C 1423,P-G C 1423,12th cent.,,https://pemdatabase.eu/source/80079,Secular,12
SK-MO (Modra) Magistrát mesta Modry 5197 Register der Abgaben für das Winzerrecht 1677,SK-MO 5197,15th century,Transylvania-Várad,https://cantus.sk/source/194,,15
"SK-KRE (Kremnica) Antiphonarium Tom. 1, Fons 41, Fasc. 2, Nro. 33, 1568","SK-KRE Tom. 1, Fons 41, Fasc. 2, Nro. 33, 1568",15th century,OFM,https://cantus.sk/source/32510,,15
"SK-KRE (Kremnica) Antiphonarium Tom. 1, Fons 41, Fasc. 2, Nro. 34, 1568","SK-KRE Tom. 1, Fons 41, Fasc. 2, Nro. 34, 1568",15th century,OFM,https://cantus.sk/source/32513,,15
P-G (Guimarães) Arquivo Municipal Alfredo Pimenta C 1372,P-G C 1372,15th cent.,,https://pemdatabase.eu/source/80245,unknown,15
SK-BSa (Banská Štiavnica)  Insleth Berechnung 1574 (sine Sign.),SK-BSa 1574,14th century,Slovakia,https://cantus.sk/source/123,,14
A-KN CCl 0567 Antiphonarium (Fragm.),A-KN CCl 567,14th century,Central Europe,https://austriamanus.org/source/5061,,14
P-G (Guimarães) Arquivo Municipal Alfredo Pimenta C 623,P-G C 623,12th century,,https://pemdatabase.eu/source/76636,,12
E-PAMan (Pamplona) partitura n. 89,E-PAMan partitura n. 89,13th century,,https://musicahispanica.eu/source/97656,,13
D-WÜu : M.p.th.f.077,D-WÜu M.p.th.f.077,10th century,Würzburg,http://musmed.eu/source/15362,,10
E-PAMan (Pamplona) Partitura n. 186,E-PAMan Partitura n. 186,13th century,,https://musicahispanica.eu/source/127393,,13
E-PAMan (Pamplona) Partitura n. 117,E-PAMan Partitura n. 117,12th century,,https://musicahispanica.eu/source/126573,,12
P-Cm (Coimbra) Biblioteca Municipal FPM-B50-04,P-Cm FPM-B50-04,c. 1200,,https://pemdatabase.eu/source/46519,Secular,13
"SK-BSa (Banská Štiavnica) Wachgeldregister 1595-1596, 98 MMBŠ 16K94, škatuľa 24",SK-BSa 98 16K94,14th century,Slovakia,https://cantus.sk/source/116,,14
A-KN Fragm. 330 Antiphonarium,A-KN Fragm. 330,15th century,Austria,https://austriamanus.org/source/70,,15
GB-Lbl (London) Add MS 30852,GB-Lbl Add MS 30852,09th century,Santa Engracia de Zaragoza,https://musicahispanica.eu/source/103062,,9
SK-MO (Modra) Magistrát mesta Modry 5167 Register der Abgaben für das Winzerrecht 1647,SK-MO 5167,15th century,Slovakia,https://cantus.sk/source/182,,15
F-Pn : Lat. 9448,F-Pn Lat. 9448,10th century,Transféré à Paris entre 1802 et 1804,http://musmed.eu/source/13296,,10
A-KN Fragm. 016 Antiphonarium,A-KN Fragm. 16,13th century,Austria/Germany,https://austriamanus.org/source/19,,13
E-PAMan (Pamplona) partitura n. 48 olim 3/16,E-PAMan partitura n. 48 olim 3/16,14th century,,https://musicahispanica.eu/source/96753,,14
P-G (Guimarães) Arquivo Municipal Alfredo Pimenta P 217,P-G P 217,14th cent.,,https://pemdatabase.eu/source/80294,unknown,14
A-KN Fragm. 367 Antiphonarium,A-KN Fragm. 367,12th century,Klosterneuburg,https://austriamanus.org/source/81,,12
P-Cua (Coimbra) Arquivo Distrital e da Universidade IV-2ªE-8-3-032,P-Cua IV-2ªE-8-3-032,14th century?,,https://pemdatabase.eu/source/97145,Secular,14
SK-Brl (Bratislava) BB 325,SK-BRl BB325,15th century,Central Europe (Slovakia),https://cantus.sk/source/5001,,15
SK-PREa (Prešov) Antiphonarium 1,SK-PREa (Prešov) Zb. ilum. 1,15th century,Hungary,https://cantus.sk/source/29821,,15
E-PAMan (Pamplona) Partitura n. 180,E-PAMan Partitura n. 180,13th century,,https://musicahispanica.eu/source/127312,,13
SK-TN (Trenčín) MMTN – Kn/I-27,SK-TN MMTN – Kn/I-27,15th century,Moravia/ Slovakia: Nové Mesto nad Váhom (?),https://cantus.sk/source/28827,,15
SK-KO (Košice) Antiphonarium Fragm. MUSIC b,SK-KO (Košice) Fragm. MUSIC b,14th century,medieval Hungary (Spiš),https://cantus.sk/source/31266,,14
SK-BJ (Bardejov) Breviarium MMBJ 1808,SK-BJ (Bardejov) MMBJ 1808,15th century,Hungary,https://cantus.sk/source/29812,,15
E-PAMan (Pamplona) Partitura n. 245,E-PAMan Partitura n. 245,16th century,,https://musicahispanica.eu/source/127904,,16
A-KN CCl 0548 Graduale (Fragm.),A-KN CCl 548,14th century,Klosterneuburg,https://austriamanus.org/source/5008,,14
E-PAMan (Pamplona) partitura n. 16 olim 1/17,E-PAMan partitura n. 16 olim 1/17,14th century,,https://musicahispanica.eu/source/94901,,14
A-KN Fragm. 334 Antiphonarium,A-KN Fragm. 334,15th century,Austria,https://austriamanus.org/source/74,,15
A-KN CCl 0029 Diurnale (Fragm.),A-KN CCl. 29,14th century,Klosterneuburg,https://austriamanus.org/source/4267,,14
"SK-KRE (Kremnica) Antiphonarium Tom. 2, Fons 32, Fasc. 3, Nro. 40, 1604","SK-KRE Tom. 2, Fons 32, Fasc. 3, Nro. 40, 1604",15th century,Bohemia,https://cantus.sk/source/32570,,15
E-Bbc (Barcelona) M 1325,E-Bbc M 1325,16th century,"Iglesia Parroquial de Castelladral (Barcelona), dedicada a San Miguel",https://musicahispanica.eu/source/20237,,16
D-DÜl : K04:010,D-DÜl K04:010,12th century,Ouest de l'Allemagne,http://musmed.eu/source/9618,,12
E-PAMan (Pamplona) Partitura n. 167,E-PAMan Partitura n. 167,14th century,,https://musicahispanica.eu/source/127164,,14
A-KN Fragm. 370 Antiphonarium,A-KN Fragm. 370,13th century,Austria/Germany,https://austriamanus.org/source/84,,13
P-G (Guimarães) Arquivo Municipal Alfredo Pimenta 10-9-9-1,P-G 10-9-9-1,13th century,,https://pemdatabase.eu/source/47396,unknown,13
E-PAMan (Pamplona) Partitura n. 112,E-PAMan Partitura n. 112,13th century,,https://musicahispanica.eu/source/126526,,13
E-PAMan (Pamplona) partitura n. 80 olim 4/11,E-PAMan partitura n. 80 olim 4/11,14th century,,https://musicahispanica.eu/source/97573,,14
F-ME : Ms 732 bis (Pièce 17),F-ME Ms 732 bis (Pièce 17),13th century,Registre de la paroisse Saint-Eucaire,http://musmed.eu/source/21714,,13
P-Pad (Porto) Arquivo Distrital NOT/CNPRT04/001/3107,P-Pad NOT/CNPRT04/001/3107,15th century (first half),,https://pemdatabase.eu/source/67960,,15
SK-PREa (Prešov) Breviarium 2,SK-PREa (Prešov) Zb. ilum. 5,14th century,Hungary,https://cantus.sk/source/29825,,14
P-G (Guimarães) Arquivo Municipal Alfredo Pimenta P 832,P-G P 832,late 14th century,,https://pemdatabase.eu/source/131337,,14
SK-Brl (Bratislava) Frag. 5,SK-BRl Frag. 5,14th century,Slovakia,https://cantus.sk/source/4454,,14
E-PAMan (Pamplona) Partitura n. 292,E-PAMan Partitura n. 292,16th century,,https://musicahispanica.eu/source/128234,,16
"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0078",CDN-Mrb MS Medieval 0078,16th century,,https://cantusdatabase.org/source/691955,,16
SK-BSa (Banská Štiavnica) Protocollum No.inv.581 1561,SK-BSa 581,14th century,Slovakia,https://cantus.sk/source/80,,14
D-B : Ms Gall. Qu. 48,D-B Ms Gall. Qu. 48,12th century,Ouest de la France,http://musmed.eu/source/8810,,12
"E-VI (Vic) Ms. 122, ff. 3 y 4 (olim 5391)",E-VI Ms. 122 (ff. 3 y 4),12th century,,https://musicahispanica.eu/source/22958,,12
E-E : I.II.10,E-E I.II.10,11th century,Sud-Ouest de la France,http://musmed.eu/source/164148,,11
P-G (Guimarães) Arquivo Municipal Alfredo Pimenta N 161,P-G N 161,15th cent.,,https://pemdatabase.eu/source/80281,unknown,15
SK-KOs (Košice) Antiphonarium U 383 PA,SK-KOs U 383 PA,16th century,Germany,https://cantus.sk/source/10449,,16
SK-MO (Modra) Magistrát mesta Modry 5188 Register der Abgaben für das Winzerrecht 1668,SK-MO 5188,15th century,Transylvania-Várad,https://cantus.sk/source/186,,15
SK-TN (Trenčín) ZH-A Sine num. sig. (18),SK-TN ZH-A Sine num. sig.  (18),15th century,Slovakia/Central Europe (?),https://cantus.sk/source/28830,,15
SK-Bra (Bratislava) EC Lad.2/44,SK-Bra ECLad.2/44,15th century,Central Europe,https://cantus.sk/source/10961,,15
"P-BRad (Braga) Arquivo Distrital Pasta de fragmentos, 090 (olim Caixa 242, nº 2)",P-BRad Pasta 090,late 12th century,,https://pemdatabase.eu/source/47060,Monastic,12
E-PAMan (Pamplona) Partitura n. 168,E-PAMan Partitura n. 168,14th century,,https://musicahispanica.eu/source/127170,,14
E-Mh (Madrid) Cod. 56,E-Mh Cod. 56,10th century,San Millán de la Cogolla,https://musicahispanica.eu/source/70790,Monastic,10
"SK-KRE (Kremnica) Antiphonarium Tom. 1, Fons 36, Fasc. 5, Nro. 112, 1554","SK-KRE Tom. 1, Fons 36, Fasc. 5, Nro. 112, 1554",15th century,medieval Hungary,https://cantus.sk/source/32460,,15
P-Cua (Coimbra) Arquivo Distrital e da Universidade IV-3ª Gav. 44 (05) + IV-3ª Gav. 44 (06),P-Cua IV-3ª Gav. 44 (05) + IV-3ª Gav. 44 (06),early 15th century?,,https://pemdatabase.eu/source/96882,,15
A-KN CCl 0459 Graduale (Fragm.),A-KN CCl 459,14th century,Klosterneuburg,https://austriamanus.org/source/4932,,14
A-KN Fragm. 371 Antiphonarium,A-KN Fragm. 371,12th century,Austria/Germany,https://austriamanus.org/source/85,,12
A-KN CCl 0643A Antiphonarium (Fragm.),A-KN CCl. 643A,14th century,Austria,https://austriamanus.org/source/4556,,14
A-KN Fragm. 335 Antiphonarium,A-KN Fragm. 335,15th century,Austria,https://austriamanus.org/source/75,,15
P-G (Guimarães) Arquivo Municipal Alfredo Pimenta N 020,P-G N 020,14th cent.,,https://pemdatabase.eu/source/80352,Secular,14
E-PAMan (Pamplona) Partitura n. 306,E-PAMan Partitura n. 306,16th century,,https://musicahispanica.eu/source/128288,,16
A-KN Fragm. 029 Psalterium,A-KN Fragm. 29,15th century,cursus monasticus,https://austriamanus.org/source/32,,15
E-PAMan (Pamplona) Partitura n. 157,E-PAMan Partitura n. 157,14th century,,https://musicahispanica.eu/source/127075,,14
SK-KRE (Kremnica) Antiphonarium Lozungalen 1643–1649,SK-KRE Lozungalen 1643–1649,15th century,Austria,https://cantus.sk/source/32263,,15
A-KN Fragm. 025 Antiphonarium,A-KN Fragm. 25,15th century,Klosterneuburg,https://austriamanus.org/source/28,,15
P-Pad (Porto) Arquivo Distrital NOT/CNPRD01/001/1002,P-Pad NOT/CNPRD01/001/1002,15th century,,https://pemdatabase.eu/source/72480,Secular,15
P-Cug (Coimbra) Biblioteca Geral da Universidade MM 1063 (31),P-Cug MM 1063 (31),c. 1300,,https://pemdatabase.eu/source/119579,unknown,14
A-KN CCl 0645 Antiphonarium (Fragm.),A-KN CCl 0645,15th century,Austria,https://austriamanus.org/source/5590,,15
E-PAMan (Pamplona) Partitura n. 208,E-PAMan Partitura n. 208,13th century,,https://musicahispanica.eu/source/127505,,13
SK-MO (Modra) Magistrát mesta Modry 563 Gerichtsprotokolle (Diarum iudiciale civitatis Modor) 1652-1654,SK-MO 563,15th century,Slovakia,https://cantus.sk/source/134,,15
A-KN Fragm. 401 Antiphonarium,A-KN Fragm. 401,12th century,Austria/Germany,https://austriamanus.org/source/91,,12
SK-Brl (Bratislava) Lyc F I 210,SK-BRl Lyc FI210,15th century,"Central Europe (Poland, Slovakia)",https://cantus.sk/source/4987,,15
A-KN CCl 1092 Antiphonarium (Fragm.),A-KN CCl. 1092,12th century,Klosterneuburg,https://austriamanus.org/source/4578,,12
SK-KE (Kežmarok) Antiphonarium 7653,SK-KE (Kežmarok) sign. 7653,15th century,Germany,https://cantus.sk/source/31669,,15
SK-BJ (Bardejov) Antiphonarium MMBJ 1779,SK-BJ (Bardejov) MMBJ 1779,14th century,Hungary,https://cantus.sk/source/29806,,14
CH-E : Cod 0205,CH-E Cod 0205,10th century,Suisse ?,http://musmed.eu/source/9756,,10
E-PAMan (Pamplona) partitura n. 49 olim 3/20,E-PAMan partitura n. 49 olim 3/20,12th century,,https://musicahispanica.eu/source/96870,,12
F-AUC : Ms 0048,F-AUC Ms 0048,13th century,Sud de la France,http://musmed.eu/source/8518,,13
P-Cug (Coimbra) Biblioteca Geral da Universidade MM 045,P-Cug MM 0045,late 15th century,"Coimbra, Mosteiro de São Marcos?",https://pemdatabase.eu/source/46513,Secular,15
P-G (Guimarães) Arquivo Municipal Alfredo Pimenta C 1206,P-G C 1206,early to mid-13th century,,https://pemdatabase.eu/source/48634,,13
P-Cua (Coimbra) Arquivo Distrital e da Universidade III-1ªD-3-5-259,P-Cua III-1ªD-3-5-259,15th century,,https://pemdatabase.eu/source/96696,,15
SK-BRnm (Bratislava) MUS I 3,SK-BRnm MUS I 3,15th century,Slovakia,https://cantus.sk/source/204,,15
"Waterloo, University of Waterloo – DRAGEN Lab-St Jerome’s University, MS Medieval 27 (Music Fragment M6364)",CDN-WAdl MS Medieval 27,14th century,,https://cantusdatabase.org/source/702547,Secular,14
"Waterloo, University of Waterloo – DRAGEN Lab-St Jerome’s University, MS Medieval 26 (Music Fragment M6366)",CDN-WAdl MS Medieval 26,14th century,,https://cantusdatabase.org/source/703575,Secular,14
E-SUe (Seo de Urgel) Fragmento 183.7,E-SUe Fragmento 183.7,12th century,,https://musicahispanica.eu/source/111475,,12
SK-KO (Košice) Antiphonarium H III/2 re 6,SK-KO (Košice) H III/2 re 6,15th century,medieval Europe (Košice /?/ or Transylvania),https://cantus.sk/source/31196,,15
SK-KE (Kežmarok) Antiphonarium 10726,SK-KE (Kežmarok) sign. 10726,15th century,Hungary (Spiš region),https://cantus.sk/source/31671,,15
SK-Brl (Bratislava) Frag. 1,SK-BRl Frag. 1,14th century,Slovakia,https://cantus.sk/source/4382,,14
E-PAMan (Pamplona) Partitura n. 307,E-PAMan Partitura n. 307,16th century,,https://musicahispanica.eu/source/128291,,16
E-PAMan (Pamplona) Partitura n. 308,E-PAMan Partitura n. 308,16th century,,https://musicahispanica.eu/source/128295,,16
E-PAMan (Pamplona) Partitura n. 312,E-PAMan Partitura n. 312,16th century,,https://musicahispanica.eu/source/128312,,16
"P-ESsc (Estremoz) Santa Casa da Misericórdia, Arquivo A1-455",P-ESsc A1-455,15th century,,https://pemdatabase.eu/source/46682,unknown,15
E-SUe (Seo de Urgel) Fragmento 183.3,E-SUe Fragmento 183.3,12th century,,https://musicahispanica.eu/source/111476,,12
"SK-BSa (Banská Štiavnica) Liber Continens 1583, No.inv.1271, 159 MMBŠ 16K155 1583, škatuľa 33",SK-BSa 1271,16th century,Slovakia,https://cantus.sk/source/132,,16
SK-Brl (Bratislava) ŠA I 106,SK-BRl ŠAI106,15th century,Germany,https://cantus.sk/source/5005,,15
"P-BRad (Braga) Arquivo Distrital Pasta de fragmentos, 006",P-BRad Pasta 006,13th century,,https://pemdatabase.eu/source/47054,,13
E-PAMan (Pamplona) Partitura n. 220,E-PAMan Partitura n. 220,13th century,,https://musicahispanica.eu/source/127671,,13
E-SI (Santo Domingo de Silos) MS 6,E-SI MS 6,11th century,"Santo Domingo de Silos (see Description"" above)""",https://musicahispanica.eu/source/20179,cathedral,11
"P-LOam (Loulé) Arquivo Municipal de Loulé Registo Manifesto de Gado, liv. 003","P-LOam Registo Manifesto de Gado, liv. 003",16th century,,https://pemdatabase.eu/source/82763,,16
SK-BRnm (Bratislava) MUS I 351,SK-BRnm MUS I 351,12th century,Germany,https://cantus.sk/source/217,,12
E-PAMan (Pamplona) Partitura n. 227,E-PAMan Partitura n. 227,13th century,,https://musicahispanica.eu/source/127773,,13
E-PAMan (Pamplona) Partitura n. 151,E-PAMan Partitura n. 151,14th century,,https://musicahispanica.eu/source/127025,,14
E-PAMan (Pamplona) partitura n. 27 olim 2/9,E-PAMan partitura n. 27 olim 2/9,12th century,,https://musicahispanica.eu/source/95673,cathedral,12
E-PAMan (Pamplona) partitura n. 55 olim 3/26,E-PAMan partitura n. 55 olim 3/26,14th century,,https://musicahispanica.eu/source/96917,,14
E-ZAahp Archivo Histórico Provincial de Zamora 123,E-ZAahp Perg. Mus. 123,early 13th century ,,https://pemdatabase.eu/source/122527,,13
SK-MO (Modra) Magistrát mesta Modry 5146 Register der Abgaben für das Winzerrecht 1625,SK-MO 5146,15th century,Slovakia,https://cantus.sk/source/179,,15
SK-BRsa Antiphonarium Bibliotheca Capituli Posoniensis Scr. 78,SK-BRsa Scr.78,15th century,Slovakia / Hungary,https://cantus.sk/source/13901,,15
SK-Lap (Levoča) Antiphonarium MMLE XXII/312,SK-Lap (Levoča) MMLE XXII/312,16th century,Hungary,https://cantus.sk/source/29835,,16
F-O : Ms 084,F-O Ms 084,10th century,Abbaye de Fleury,http://musmed.eu/source/12651,,10
P-Cm (Coimbra) Biblioteca Municipal FPM-B50-06,P-Cm FPM-B50-06,early 13th century,,https://pemdatabase.eu/source/46626,,13
E-PAMan (Pamplona) partitura n. 69 olim 5/6,E-PAMan partitura n. 69 olim 5/6,12th century,,https://musicahispanica.eu/source/97229,,12
D-Mbs : Clm 06250,D-Mbs Clm 06250,9th century,Environs de Freising,http://musmed.eu/source/12176,,9
SK-KRE (Kremnica) Antiphonarium Bier Tax Register 1658,SK-KRE Bier Tax Register 1658,15th century,OFM,https://cantus.sk/source/32277,,15
"P-BRad (Braga) Arquivo Distrital Pasta de fragmentos, 004 (olim Caixa 243, nº 9)",P-BRad Pasta 004,13th century,,https://pemdatabase.eu/source/46599,,13
E-PAMan (Pamplona) Partitura n. 170,E-PAMan Partitura n. 170,14th century,,https://musicahispanica.eu/source/127189,,14
"P-LOam (Loulé) Arquivo Municipal de Loulé Atas de Vereação, liv. 046","P-LOam Atas de Vereação, liv. 046",[c. 1600],,https://pemdatabase.eu/source/82687,,17
F-AUT : Ms S 0037 (33),F-AUT Ms S 0037 (33),10th century,France,http://musmed.eu/source/8587,,10
P-Cm (Coimbra) Biblioteca Municipal FPM-B50-03,P-Cm FPM-B50-03,late 14th century,,https://pemdatabase.eu/source/46516,Secular,14
E-PAMan (Pamplona) Partitura n. 128,E-PAMan Partitura n. 128,12th century,,https://musicahispanica.eu/source/126743,,12
SK-KE (Kežmarok) Antiphonarium 22776,SK-KE (Kežmarok) sign. 22776,15th century,Hungary,https://cantus.sk/source/31678,,15
SK-Lap (Levoča) Antiphonarium MMLE XXII/309,SK-Lap (Levoča) MMLE XXII/309,16th century,Hungary,https://cantus.sk/source/29836,,16
SK-Lap (Levoča) Antiphonarium MMLE XXII/313,SK-Lap (Levoča) MMLE XXII/313,16th century,Hungary,https://cantus.sk/source/29832,,16
"Connecticut, Private collections, D:0e78r",Cantus D:0e78r,13th century,,https://cantusdatabase.org/source/1000006,Monastic,13
"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0172",CDN-Mrb MS Medieval 0172,15th century,,https://cantusdatabase.org/source/693590,,15
"P-EVp (Évora) Biblioteca Pública Pasta 3, doc. 002","P-EVp Pasta 3, doc. 002",15th century,,https://pemdatabase.eu/source/98928,unknown,15
V-CVbav : Reg.lat.0255,V-CVbav Reg.lat.0255,11th century,Fleury ?,http://musmed.eu/source/95020,,11
F-Pn : Lat. 6288,F-Pn Lat. 6288,10th century,Moissac,http://musmed.eu/source/13193,,10
SK-MO (Modra) Magistrát mesta Modry 6371 Register der Gebühren von Fremden für das Schneiden von Wein 1610,SK-MO 6371,15th century,Slovakia,https://cantus.sk/source/197,,15
A-KN Fragm. 434 Antiphonarium,A-KN Fragm. 434,12th century,Austria/Germany,https://austriamanus.org/source/102,,12
"P-BRad (Braga) Arquivo Distrital Pasta dos documentos visigóticos, s.n. (fragment now lost)","P-BRad Pasta dos documentos visigóticos, s.n.",[1090 - 1120],,https://pemdatabase.eu/source/54192,,11
A-KN Fragm. 027 Antiphonarium,A-KN Fragm. 27,15th century,Klosterneuburg,https://austriamanus.org/source/30,,15
"SK-KRE (Kremnica) Missale Tom. 1, Fons 32, Fasc. 9, Nro. 83, 1583","SK-KRE Tom. 1, Fons 32, Fasc. 9, Nro. 83, 1583",14th century,Bohemia,https://cantus.sk/source/32332,,14
E-Bbc (Barcelona) M 1408-4b,E-Bbc M 1408-4b,11th century,,https://musicahispanica.eu/source/78475,,11
SK-BEt (Betliar) Slovenské národné múzeum - Múzeum Betliar 9 ANTIPHONARIUM Sign. K0000/09925,SK-BEt Sign. K0000/09925,15th century,Bohemia (Moravia),https://cantus.sk/source/29075,,15
E-PAMan (Pamplona) Partitura n. 166,E-PAMan Partitura n. 166,14th century,,https://musicahispanica.eu/source/127155,,14
"SK-KRE (Kremnica) Antiphonarium Tom. 2, Fons 42, Fasc. 1, Nro. 23, 1607","SK-KRE Tom. 2, Fons 42, Fasc. 1, Nro. 23, 1607",15th century,Bohemia,https://cantus.sk/source/32582,,15
P-Cua (Coimbra) Arquivo Distrital e da Universidade IV-3ª Gav. 44 (08),P-Cua IV-3ª Gav. 44 (08),15th cent.,,https://pemdatabase.eu/source/96923,unknown,15
E-PAMan (Pamplona) Partitura n. 238,E-PAMan Partitura n. 238,16th century,,https://musicahispanica.eu/source/127860,,16
P-VV (Vila Viçosa) Biblioteca do Palácio Real A.M. C-001,P-VV A.M. C-001,19th century,,https://pemdatabase.eu/source/91200,,19
SK-MO (Modra) Magistrát mesta Modry 5189 Register der Abgaben für das Winzerrecht 1669,SK-MO 5189,15th century,Transylvania-Várad,https://cantus.sk/source/187,,15
"P-LA (Lamego) Arquivo da Sé Caixa 1, Fragmento 004","P-LA Caixa 1, Fragmento 004",late 12th century - early 13th century,,https://pemdatabase.eu/source/46546,,12
